streamGauge,NSE,peakFlow.observed,peakFlow.modeled,percentError.peakFlow,flowVolume.observed,flowVolume.modeled,percentError.FlowVolume,ID
SANDIEGO_CULVER,-0.0840944679242122,195.763,0.240641095585677,-99.877075292274,3227479.2,13213.5182020784,-99.5905932344327,14
11048553,-1.87159085218194,1.78666666666667,0,-100,156471,0,-100,14
SANDIEGO_CAMPUS,-0.0501079325740519,588.856,91.1716854148747,-84.5171509817554,18777571.2,2414371.95194672,-87.1422564386457,14
ELMODENA,-Inf,1.327,103.208017580103,7677.54465562193,907668,719957.219402026,-20.6805550705736,15
CENTRAL_IRVINE,0.415683007752912,9.838,15.8077896510148,60.680927536235,296834.4,115973.891595088,-60.9297670367423,15
PETERS,0.253864471628917,123.488,268.392750423185,117.343183485995,4507779.6,2219391.2634327,-50.7653110761515,15
11048200,NA,0,0,NA,0,0,NA,15
SANDIEGO_CULVER,0.0647873548686903,92.513,34.8101320865826,-62.3727129305259,7045549.2,923819.658177216,-86.8878971396976,15
11048553,-1.56837022554646,3.92,7.90634406244787,101.69245057265,186232.5,79963.7071423994,-57.0624315614088,15
SANDIEGO_CAMPUS,-0.204258455135845,125.716,279.073408005123,121.987183815205,9829839.6,4373055.88173573,-55.5124390662922,15
ELMODENA,-243382.736496169,2.183,1818.93141222021,83222.5566752272,1269702,20992758.9632185,1553.36110073218,16
CENTRAL_IRVINE,0.796918006063983,480.219,347.021763265073,-27.7367694187292,5353869.6,7009277.22599378,30.9198346181943,16
PETERS,0.432670382845739,3875.414,7568.11722202872,95.2853868523136,61537471.2,89097138.9381692,44.7851808024396,16
11048200,-235.29782886215,3.1175,25.125344252349,705.945284758589,42678,854312.387846806,1901.76294073482,16
SANDIEGO_CULVER,-0.0804383694652624,1456.282,3547.02269762815,143.567021883684,38544793.2,44830477.4842131,16.3074795902994,16
11048553,-14.2952802986361,61.4166666666667,304.040230079117,395.045150739403,1379509.5,5831754.27274289,322.741146236607,16
SANDIEGO_CAMPUS,-1.12270264529774,5824.876,15250.2443534402,161.812343360446,125917783.2,223365604.828528,77.3900390810949,16
ELMODENA,-18.1713237726504,19.037,129.479822380353,580.14825014631,1259614.8,2173455.84578216,72.549246466631,17
